arquivo,classificacao
sf_bq037.sql,Ultra
sf_bq043.sql,Advanced
sf_bq050.sql,Ultra
sf_bq052.sql,Ultra
sf_bq057.sql,Ultra
sf_bq068.sql,Ultra
sf_bq070.sql,Ultra
sf_bq072.sql,Ultra
sf_bq083.sql,Ultra
sf_bq091.sql,Ultra
sf_bq093.sql,Ultra
sf_bq099.sql,Ultra
sf_bq104.sql,Ultra
sf_bq121.sql,Ultra
sf_bq127.sql,Ultra
sf_bq128.sql,Ultra
sf_bq150.sql,Ultra
sf_bq153.sql,Advanced
sf_bq155.sql,Ultra
sf_bq158.sql,Ultra
sf_bq159.sql,Ultra
sf_bq166.sql,Ultra
sf_bq167.sql,Ultra
sf_bq176.sql,Ultra
sf_bq182.sql,Ultra
sf_bq187.sql,Ultra
sf_bq193.sql,Ultra
sf_bq209.sql,Ultra
sf_bq210.sql,Advanced
sf_bq213.sql,Ultra
sf_bq216.sql,Ultra
sf_bq219.sql,Ultra
sf_bq221.sql,Ultra
sf_bq222.sql,Ultra
sf_bq223.sql,Expert
sf_bq224.sql,Ultra
sf_bq233.sql,Ultra
sf_bq236.sql,Ultra
sf_bq246.sql,Ultra
sf_bq248.sql,Advanced
sf_bq250.sql,Ultra
sf_bq252.sql,Ultra
sf_bq254.sql,Ultra
sf_bq255.sql,Expert
sf_bq260.sql,Ultra
sf_bq263.sql,Ultra
sf_bq264.sql,Ultra
sf_bq265.sql,Ultra
sf_bq271.sql,Ultra
sf_bq273.sql,Ultra
sf_bq289.sql,Advanced
sf_bq291.sql,Ultra
sf_bq294.sql,Ultra
sf_bq295.sql,Ultra
sf_bq320.sql,Advanced
sf_bq321.sql,Expert
sf_bq334.sql,Ultra
sf_bq341.sql,Ultra
sf_bq345.sql,Ultra
sf_bq346.sql,Ultra
sf_bq347.sql,Ultra
sf_bq349.sql,Ultra
sf_bq358.sql,Ultra
sf_bq359.sql,Ultra
sf_bq377.sql,Advanced
sf_bq390.sql,Advanced
sf_bq412.sql,Advanced
sf_bq421.sql,Ultra
sf_bq422.sql,Ultra
sf_bq429.sql,Ultra
sf_bq444.sql,Advanced
sf_bq455.sql,Ultra
