arquivo,classificacao
sql_cordis_0619.sql,Advanced
sql_cordis_0620.sql,Advanced
sql_cordis_0621.sql,Advanced
sql_cordis_0622.sql,Advanced
sql_cordis_0623.sql,Advanced
sql_cordis_0624.sql,Advanced
sql_cordis_0625.sql,Basic
sql_cordis_0626.sql,Basic
sql_cordis_0627.sql,Basic
sql_cordis_0628.sql,Basic
sql_cordis_0629.sql,Basic
sql_cordis_0630.sql,Basic
sql_cordis_0631.sql,Basic
sql_cordis_0632.sql,Basic
sql_cordis_0633.sql,Basic
sql_cordis_0634.sql,Basic
sql_cordis_0635.sql,Basic
sql_cordis_0636.sql,Basic
sql_cordis_0637.sql,Advanced
sql_cordis_0638.sql,Advanced
sql_cordis_0639.sql,Advanced
sql_cordis_0640.sql,Advanced
sql_cordis_0641.sql,Advanced
sql_cordis_0642.sql,Advanced
sql_cordis_0643.sql,Advanced
sql_cordis_0644.sql,Advanced
sql_cordis_0645.sql,Basic
sql_cordis_0646.sql,Basic
sql_cordis_0647.sql,Advanced
sql_cordis_0648.sql,Advanced
sql_cordis_0649.sql,Basic
sql_cordis_0650.sql,Basic
sql_cordis_0651.sql,Advanced
sql_cordis_0652.sql,Advanced
sql_cordis_0653.sql,Advanced
sql_cordis_0654.sql,Advanced
sql_cordis_0655.sql,Advanced
sql_cordis_0656.sql,Advanced
sql_cordis_0657.sql,Basic
sql_cordis_0658.sql,Basic
sql_cordis_0659.sql,Basic
sql_cordis_0660.sql,Basic
sql_cordis_0661.sql,Basic
sql_cordis_0662.sql,Basic
sql_cordis_0663.sql,Basic
sql_cordis_0664.sql,Basic
sql_cordis_0665.sql,Basic
sql_cordis_0666.sql,Basic
sql_cordis_0667.sql,Basic
sql_cordis_0668.sql,Basic
sql_cordis_0669.sql,Basic
sql_cordis_0670.sql,Basic
sql_cordis_0671.sql,Basic
sql_cordis_0672.sql,Basic
sql_cordis_0673.sql,Advanced
sql_cordis_0674.sql,Advanced
sql_cordis_0675.sql,Advanced
sql_cordis_0676.sql,Advanced
sql_cordis_0677.sql,Advanced
sql_cordis_0678.sql,Advanced
sql_cordis_0679.sql,Advanced
sql_cordis_0680.sql,Advanced
sql_cordis_0681.sql,Basic
sql_cordis_0682.sql,Basic
sql_cordis_0683.sql,Basic
sql_cordis_0684.sql,Basic
sql_cordis_0685.sql,Basic
sql_cordis_0686.sql,Basic
sql_cordis_0687.sql,Basic
sql_cordis_0688.sql,Basic
sql_cordis_0689.sql,Basic
sql_cordis_0690.sql,Basic
sql_cordis_0691.sql,Basic
sql_cordis_0692.sql,Basic
sql_cordis_0693.sql,Basic
sql_cordis_0694.sql,Basic
sql_cordis_0695.sql,Basic
sql_cordis_0696.sql,Basic
sql_cordis_0697.sql,Basic
sql_cordis_0698.sql,Basic
sql_cordis_0699.sql,Basic
sql_cordis_0700.sql,Basic
sql_cordis_0701.sql,Basic
sql_cordis_0702.sql,Basic
sql_cordis_0703.sql,Basic
sql_cordis_0704.sql,Basic
sql_cordis_0705.sql,Advanced
sql_cordis_0706.sql,Advanced
sql_cordis_0707.sql,Advanced
sql_cordis_0708.sql,Advanced
sql_cordis_0709.sql,Advanced
sql_cordis_0710.sql,Advanced
sql_cordis_0711.sql,Advanced
sql_cordis_0712.sql,Advanced
sql_cordis_0713.sql,Basic
sql_cordis_0714.sql,Basic
sql_cordis_0715.sql,Basic
sql_cordis_0716.sql,Basic
sql_cordis_0717.sql,Basic
sql_cordis_0718.sql,Basic
sql_cordis_0719.sql,Basic
sql_cordis_0720.sql,Basic
sql_cordis_0721.sql,Basic
sql_cordis_0722.sql,Basic
sql_cordis_0723.sql,Basic
sql_cordis_0724.sql,Basic
sql_cordis_0725.sql,Basic
sql_cordis_0726.sql,Basic
sql_cordis_0727.sql,Basic
sql_cordis_0728.sql,Basic
sql_cordis_0729.sql,Advanced
sql_cordis_0730.sql,Advanced
sql_cordis_0731.sql,Advanced
sql_cordis_0732.sql,Advanced
sql_cordis_0733.sql,Basic
sql_cordis_0734.sql,Basic
sql_cordis_0735.sql,Advanced
sql_cordis_0736.sql,Advanced
sql_cordis_0737.sql,Advanced
sql_cordis_0738.sql,Advanced
sql_cordis_0739.sql,Advanced
sql_cordis_0740.sql,Advanced
sql_cordis_0741.sql,Basic
sql_cordis_0742.sql,Basic
sql_cordis_0743.sql,Advanced
sql_cordis_0744.sql,Advanced
sql_cordis_0745.sql,Basic
sql_cordis_0746.sql,Basic
sql_cordis_0747.sql,Advanced
sql_cordis_0748.sql,Advanced
sql_cordis_0749.sql,Basic
sql_cordis_0750.sql,Basic
sql_cordis_0751.sql,Basic
sql_cordis_0752.sql,Basic
sql_cordis_0753.sql,Basic
sql_cordis_0754.sql,Basic
sql_cordis_0755.sql,Advanced
sql_cordis_0756.sql,Advanced
sql_cordis_0757.sql,Advanced
sql_cordis_0758.sql,Advanced
sql_cordis_0759.sql,Advanced
sql_cordis_0760.sql,Advanced
sql_cordis_0761.sql,Basic
sql_cordis_0762.sql,Basic
sql_cordis_0763.sql,Basic
sql_cordis_0764.sql,Basic
sql_cordis_0765.sql,Advanced
sql_cordis_0766.sql,Advanced
sql_cordis_0767.sql,Basic
sql_cordis_0768.sql,Basic
sql_cordis_0769.sql,Basic
sql_cordis_0770.sql,Basic
sql_cordis_0771.sql,Basic
sql_cordis_0772.sql,Basic
sql_cordis_0773.sql,Basic
sql_cordis_0774.sql,Basic
sql_cordis_0775.sql,Basic
sql_cordis_0776.sql,Basic
sql_cordis_0777.sql,Advanced
sql_cordis_0778.sql,Advanced
sql_cordis_0779.sql,Basic
sql_cordis_0780.sql,Basic
sql_cordis_0781.sql,Basic
sql_cordis_0782.sql,Basic
sql_cordis_0783.sql,Basic
sql_cordis_0784.sql,Basic
sql_cordis_0785.sql,Advanced
sql_cordis_0786.sql,Advanced
sql_cordis_0787.sql,Advanced
sql_cordis_0788.sql,Advanced
sql_cordis_0789.sql,Advanced
sql_cordis_0790.sql,Advanced
sql_cordis_0791.sql,Basic
sql_cordis_0792.sql,Basic
sql_cordis_0793.sql,Basic
sql_cordis_0794.sql,Basic
sql_cordis_0795.sql,Basic
sql_cordis_0796.sql,Basic
sql_cordis_0797.sql,Basic
sql_cordis_0798.sql,Basic
sql_cordis_0799.sql,Basic
sql_cordis_0800.sql,Basic
sql_cordis_0801.sql,Advanced
sql_cordis_0802.sql,Advanced
sql_cordis_0803.sql,Basic
sql_cordis_0804.sql,Basic
sql_cordis_0805.sql,Advanced
sql_cordis_0806.sql,Advanced
sql_cordis_0807.sql,Advanced
