arquivo,classificacao
sql_0203.sql,Expert
sql_0204.sql,Advanced
sql_0205.sql,Expert
sql_0206.sql,Expert
sql_0207.sql,Advanced
sql_0208.sql,Expert
sql_0209.sql,Advanced
sql_0210.sql,Expert
sql_0211.sql,Expert
sql_0212.sql,Expert
sql_0213.sql,Expert
sql_0214.sql,Advanced
sql_0215.sql,Expert
sql_0216.sql,Expert
sql_0217.sql,Expert
sql_0218.sql,Expert
sql_0219.sql,Advanced
sql_0220.sql,Expert
sql_0221.sql,Expert
sql_0222.sql,Expert
sql_0223.sql,Expert
sql_0224.sql,Expert
sql_0225.sql,Expert
sql_0226.sql,Ultra
sql_0227.sql,Expert
sql_0228.sql,Expert
sql_0229.sql,Expert
sql_0230.sql,Advanced
sql_0231.sql,Expert
sql_0232.sql,Expert
sql_0233.sql,Expert
sql_0234.sql,Expert
sql_0235.sql,Expert
sql_0236.sql,Ultra
sql_0237.sql,Expert
sql_0238.sql,Expert
sql_0239.sql,Advanced
sql_0240.sql,Expert
sql_0241.sql,Expert
sql_0242.sql,Ultra
sql_0243.sql,Expert
sql_0244.sql,Expert
sql_0245.sql,Expert
sql_0246.sql,Ultra
sql_0247.sql,Advanced
sql_0248.sql,Expert
sql_0249.sql,Expert
sql_0250.sql,Expert
sql_0251.sql,Advanced
sql_0252.sql,Expert
sql_0253.sql,Expert
sql_0254.sql,Expert
sql_0255.sql,Expert
sql_0256.sql,Ultra
sql_0257.sql,Advanced
sql_0258.sql,Advanced
sql_0259.sql,Advanced
sql_0260.sql,Expert
sql_0261.sql,Advanced
sql_0262.sql,Expert
sql_0263.sql,Advanced
sql_0264.sql,Expert
sql_0265.sql,Expert
sql_0266.sql,Advanced
sql_0267.sql,Expert
sql_0268.sql,Expert
sql_0269.sql,Ultra
sql_0270.sql,Expert
sql_0271.sql,Expert
sql_0272.sql,Advanced
sql_0273.sql,Expert
sql_0274.sql,Ultra
sql_0275.sql,Ultra
sql_0276.sql,Expert
sql_0277.sql,Advanced
sql_0278.sql,Expert
sql_0279.sql,Advanced
sql_0280.sql,Ultra
sql_0281.sql,Expert
sql_0282.sql,Expert
sql_0283.sql,Expert
sql_0284.sql,Expert
sql_0285.sql,Expert
sql_0286.sql,Expert
sql_0287.sql,Expert
sql_0288.sql,Advanced
sql_0289.sql,Expert
sql_0290.sql,Advanced
sql_0291.sql,Expert
sql_0292.sql,Expert
sql_0293.sql,Advanced
sql_0294.sql,Expert
sql_0295.sql,Ultra
sql_0296.sql,Expert
sql_0297.sql,Ultra
sql_0298.sql,Expert
sql_0299.sql,Advanced
sql_0300.sql,Ultra
sql_0301.sql,Expert
sql_0302.sql,Ultra
sql_0303.sql,Ultra
sql_0304.sql,Ultra
sql_0305.sql,Ultra
sql_0306.sql,Ultra
sql_0307.sql,Ultra
sql_0308.sql,Expert
sql_0309.sql,Expert
sql_0310.sql,Ultra
sql_0311.sql,Ultra
sql_0312.sql,Ultra
sql_0313.sql,Ultra
sql_0314.sql,Ultra
sql_0315.sql,Expert
sql_0316.sql,Expert
sql_0317.sql,Ultra
sql_0318.sql,Ultra
sql_0319.sql,Expert
sql_0320.sql,Ultra
sql_0321.sql,Expert
sql_0322.sql,Ultra
sql_0323.sql,Expert
sql_0324.sql,Ultra
sql_0325.sql,Ultra
sql_0326.sql,Ultra
sql_0327.sql,Ultra
sql_0328.sql,Ultra
sql_0329.sql,Ultra
sql_0330.sql,Ultra
sql_0331.sql,Ultra
sql_0332.sql,Ultra
sql_0333.sql,Ultra
sql_0334.sql,Ultra
sql_0335.sql,Ultra
sql_0336.sql,Ultra
sql_0337.sql,Expert
sql_0338.sql,Ultra
sql_0339.sql,Ultra
sql_0340.sql,Ultra
sql_0341.sql,Expert
sql_0342.sql,Ultra
sql_0343.sql,Ultra
sql_0344.sql,Ultra
sql_0345.sql,Ultra
sql_0346.sql,Ultra
sql_0347.sql,Ultra
sql_0348.sql,Ultra
sql_0349.sql,Ultra
sql_0350.sql,Ultra
sql_0351.sql,Ultra
sql_0352.sql,Expert
sql_0353.sql,Expert
sql_0354.sql,Ultra
sql_0355.sql,Ultra
sql_0356.sql,Advanced
sql_0357.sql,Advanced
sql_0358.sql,Advanced
sql_0359.sql,Expert
sql_0360.sql,Expert
sql_0361.sql,Expert
sql_0362.sql,Expert
sql_0363.sql,Ultra
sql_0364.sql,Expert
sql_0365.sql,Expert
sql_0366.sql,Advanced
sql_0367.sql,Advanced
sql_0368.sql,Advanced
sql_0369.sql,Advanced
sql_0370.sql,Advanced
sql_0371.sql,Expert
sql_0372.sql,Ultra
sql_0373.sql,Advanced
sql_0374.sql,Expert
sql_0375.sql,Expert
sql_0376.sql,Expert
sql_0377.sql,Expert
sql_0378.sql,Expert
sql_0379.sql,Advanced
sql_0380.sql,Advanced
sql_0381.sql,Advanced
sql_0382.sql,Ultra
sql_0383.sql,Expert
sql_0384.sql,Expert
sql_0385.sql,Expert
sql_0386.sql,Expert
sql_0387.sql,Advanced
sql_0388.sql,Ultra
sql_0389.sql,Expert
sql_0390.sql,Expert
sql_0391.sql,Expert
sql_0392.sql,Ultra
sql_0393.sql,Advanced
sql_0394.sql,Ultra
sql_0395.sql,Expert
sql_0396.sql,Advanced
sql_0397.sql,Advanced
sql_0398.sql,Expert
sql_0399.sql,Expert
sql_0400.sql,Expert
sql_0401.sql,Expert
sql_0402.sql,Ultra
sql_0403.sql,Advanced
sql_0404.sql,Ultra
sql_0405.sql,Expert
sql_0406.sql,Expert
sql_0407.sql,Expert
sql_0408.sql,Ultra
sql_0409.sql,Ultra
sql_0410.sql,Ultra
sql_0411.sql,Advanced
sql_0412.sql,Ultra
sql_0413.sql,Expert
sql_0414.sql,Advanced
sql_0415.sql,Expert
sql_0416.sql,Advanced
sql_0417.sql,Advanced
sql_0418.sql,Expert
sql_0419.sql,Expert
sql_0420.sql,Expert
